"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP18","ITB7, CD27, THY1.2, CD62L, CD103, CD8A, CD73.5NTD, CD11A, CD45RB, CD8B","",NA,0.002,FALSE
"GP38","ICOS.CD278, CD44, THY1.2, KLRG1, CD160, NEUROPILIN1.CD304, CD73.5NTD, CD103","CD86, ITAM.CD11B, CD38, CD45RB, ITAX.CD11C, CD8B",NA,0,FALSE
"GP43","CD4, CD55.DAF, CD45RB, CD5, CD62L, THY1.2, CD2, SCA1, CD103, ITB7, CD27, CD73.5NTD, CD11A, CD8A, CD31, IL7RA.CD127, GITR.CD357","",NA,0.639,FALSE
"GP45","","",NA,0,FALSE
"GP49","CD45RB, CD5, CD44, CD24, CD38, CD2, CD55.DAF, THY1.2, CD31, CD11A, CD4, CD69, FR4, IL7RA.CD127, CD86, SCA1, CD73.5NTD, SLAM.CD150","",NA,0.626,FALSE
"GP51","CD55.DAF, CD45RB, CD44, CD73.5NTD, THY1.2, CD2, CD5, IL7RA.CD127, CD29, CD62L, CD4, KLRG1, CD27","CD8B",NA,0.485,FALSE
"GP87","","",NA,0,FALSE
"GP93","CD73.5NTD, THY1.2, CD8B, CD38, CD5, KLRG1, NEUROPILIN1.CD304, CD45RB","CD4",NA,0.005,FALSE
"GP102","","",NA,0,FALSE
"GP104","","",NA,0,FALSE
"GP105","ITAX.CD11C, CD11A, TCRVG3, CD4","B220, KLRG1, CD73.5NTD, IL7RA.CD127, CD45RB, CD62L, CD38",NA,0,FALSE
"GP113","","",NA,0,FALSE
"GP114","ITAX.CD11C, FR4, ITAM.CD11B, CD62L, GR1-LY6G-LY6C1-LY6C2, CD45RB, IL2RA.CD25, CD11A, TCRVG2, THY1.2, ICAM1","CD4, ITA4.CD49D, NEUROPILIN1.CD304",NA,0,FALSE
"GP116","","",NA,0,FALSE
"GP121","CD55.DAF, CD2, CD73.5NTD, THY1.2, CD62L, CD27, GITR.CD357, CD45RB, CD44, CD31, SCA1, CD160","ITAX.CD11C",NA,0.034,FALSE
"GP122","GR1-LY6G-LY6C1-LY6C2, CD45RB, CD62L, CD86, CD38, CD24, CD4, CD39, ITAM.CD11B, ITA4.CD49D, ITB7, FR4","CD44, THY1.2, CD49B, ICOS.CD278, KLRG1, ICAM1, NEUROPILIN1.CD304, CD155.PVR, CD29",NA,0.001,FALSE
"GP124","CD4, GR1-LY6G-LY6C1-LY6C2, CD39, CD86, CD24, CD38, CD45RB, IL7RA.CD127, ITA4.CD49D","CD44, CD49B",NA,0.001,FALSE
"GP132","","",NA,0,FALSE
"GP135","THY1.2, SCA1, CD160, CD39, CD69, CD38, CD5, FR4, NEUROPILIN1.CD304, CD31, CD29, CD4, GITR.CD357, KLRG1, CD103, CD24, CD73.5NTD, IL7RA.CD127","",NA,0.037,FALSE
"GP137","","",NA,0,FALSE
"GP138","","",NA,0,FALSE
"GP139","","",NA,0,FALSE
"GP140","","",NA,0,FALSE
"GP141","","",NA,0,FALSE
"GP157","ITAM.CD11B, LY49A, SCA1, TCRVG2, CD39","THY1.2, GITR.CD357, ICOS.CD278, CD2, CD44, CD103",NA,0,FALSE
"GP158","","THY1.2",NA,0,FALSE
"GP160","","",NA,0,FALSE
"GP165","","",NA,0,FALSE
"GP172","","",NA,0,FALSE
"GP175","","",NA,0,FALSE
"GP177","THY1.2, KLRG1, CD44, ICOS.CD278, NEUROPILIN1.CD304, TCRGD","ITAM.CD11B, CD86, CD4, GR1-LY6G-LY6C1-LY6C2, CD38",NA,0.042,FALSE
"GP183","THY1.2, ICOS.CD278, CD44, CD27, NEUROPILIN1.CD304, CD80, KLRG1, CD8B","ITB7, ITAX.CD11C, CD4",NA,0.001,FALSE
"GP185","ICOS.CD278, SCA1, ICAM1, CD73.5NTD, CD160, CD80, CD11A, TCRVG3, CD69","",NA,0,FALSE
"GP194","","",NA,0,FALSE
"GP195","CD39, CD44, CD5, CD69, IL7RA.CD127, CD11A, ICOS.CD278, B220, ITB7, CD73.5NTD","CD155.PVR, BTLA.CD272, CD8B",NA,0,FALSE
"GP196","CD103, GR1-LY6G-LY6C1-LY6C2, TCRVG2, CD80, CD160, ITB7, CD49B, TCRVG3","CD5, CD2",NA,0,FALSE
